"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-01","0.0",",,s",,,"-13.7",",,s","-7.8",",,s","-19.3",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-02","0.0",",,s",,,"-12.6",",,s","-5.0",",,s","-18.8",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-03","0.0",",,s",,,"-12.1",",,s","-3.5",",,s","-18.0",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-04","0.0",",,s",,,"-9.0",",,s","-3.8",",,s","-14.3",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-05","0.0",",,s",,,"-13.1",",,s","-7.0",",,s","-17.6",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-06","0.8",",,s",,,"-11.4",",,s","-8.2",",,s","-13.3",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-07","0.0",",,s",,,"-15.0",",,s","-7.3",",,s","-19.5",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-08","0.0",",,s",,,"-15.0",",,s","-8.9",",,s","-19.8",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-09","0.0",",,s",,,"-18.4",",,s","-13.5",",,s","-23.9",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-10","0.0",",,s",,,"-15.5",",,s","-6.9",",,s","-19.8",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-11","0.0",",,s",,,"-16.9",",,s","-10.2",",,s","-20.4",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-12","0.0",",,s",,,"-18.0",",,s","-10.3",",,s","-23.6",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-13","0.0",",,s",,,"-14.6",",,s","-5.7",",,s","-20.3",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-14","0.0",",,s",,,"-14.5",",,s","-6.9",",,s","-20.0",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-15","0.0",",,s",,,"-12.6",",,s","-6.3",",,s","-20.0",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-16","0.0",",,s",,,"-11.0",",,s","-4.6",",,s","-17.3",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-17","0.3",",,s",,,"-11.9",",,s","-7.4",",,s","-15.1",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-18","0.0",",,s",,,"-11.8",",,s","-3.2",",,s","-18.5",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-19","0.0",",,s",,,"-12.7",",,s","-4.3",",,s","-19.5",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-20","0.0",",,s",,,"-13.7",",,s","-5.3",",,s","-19.5",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-21","0.0",",,s",,,"-13.6",",,s","-5.6",",,s","-19.5",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-22","0.0",",,s",,,"-12.5",",,s","-4.4",",,s","-19.5",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-23","0.0",",,s",,,"-10.7",",,s","-2.8",",,s","-16.1",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-24","0.0",",,s",,,"-9.6",",,s","-0.1",",,s","-15.1",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-25","0.0",",,s",,,"-10.0",",,s","-1.9",",,s","-15.5",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-26","0.0",",,s",,,"-10.2",",,s","-0.9",",,s","-15.9",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-27","0.0",",,s",,,"-11.8",",,s","-3.9",",,s","-17.0",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-28","0.0",",,s",,,"-11.5",",,s","-5.3",",,s","-19.1",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-29","1.9",",,s",,,"-10.0",",,s","-6.2",",,s","-16.8",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-30","1.4",",,s",,,"-15.3",",,s","-9.9",",,s","-21.9",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-01-31","0.2",",,s",,,"-12.8",",,s","-9.9",",,s","-15.8",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-02-01","0.0",",,s",,,"-16.4",",,s","-10.9",",,s","-20.7",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-02-02","0.0",",,s",,,"-11.4",",,s","-3.1",",,s","-18.9",",,s"
"CHM00050745","QIQIHAR, CH","47.383","123.917","148.0","2007-02-03","0.0",",,s",,,"-6.2",",,s","-1.0",",,s","-10.9",",,s"
