"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-03","10.4",",,S",,,"5.9","H,,S","9.3",",,S",,
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-04","5.6",",,S",,,"4.8","H,,S",,,,
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-05","1.3",",,S",,,"7.7","H,,S","12.0",",,S","3.8",",,S"
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-06","3.6",",,S",,,"8.6","H,,S",,,"5.8",",,S"
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-07","2.5",",,S",,,"9.1","H,,S","13.1",",,S",,
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-08","4.6",",,S",,,"4.6","H,,S",,,"3.2",",,S"
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-09","0.3",",,S",,,"6.2","H,,S",,,,
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-10","3.3",",,S",,,"5.0","H,,S",,,"3.0",",,S"
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-11","6.1",",,S",,,"3.7","H,,S",,,,
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-12","4.8",",,S",,,"3.2","H,,S",,,"2.7",",,S"
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-13","1.0",",,S",,,"3.0","H,,S",,,,
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-14","0.0",",,S",,,"-1.2","H,,S","3.1",",,S","-3.6",",,S"
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-15","0.0",",,S",,,"-2.0","H,,S",,,"-4.1",",,S"
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-16","0.0",",,S",,,"-1.8","H,,S","0.3",",,S",,
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-17","0.0",",,S",,,"-2.0","H,,S","-0.7",",,S",,
"GM000002716","STUTTGART, GM","48.7703","9.1825","401.0","2007-12-18","0.0",",,S",,,"-3.2","H,,S",,,,
